Rank,Player,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE
427,M- Barnett,4,4,0,21,12,5.25,0,0,-
428,Max Dunn,8,6,3,20,6,6.67,0,0,41.67
429,Charlie Jordan,9,6,3,20,8,6.67,0,0,-
430,- Dunmall,9,8,2,20,13,3.33,0,0,-
431,Lucas Ringrose-Breen,12,5,2,20,12,6.67,0,0,2.78
432,Jacob Ewing,8,6,1,20,15,4,0,0,47.22
433,Rory Dalziel,3,3,1,20,20,10,0,0,0
434,Joseph Perrin,6,4,1,19,9,6.33,0,0,33.33
435,- Jones,3,3,1,19,15,9.5,0,0,-
436,Thomas Kent,9,4,1,18,8,6,0,0,21.43
437,E- Ockenden,3,3,0,18,12,6,0,0,-
438,- Taylor,6,6,0,18,15,3,0,0,-
439,I Crouthers,4,4,0,17,8,4.25,0,0,17.24
440,Findlay Candlish,6,4,0,17,16,4.25,0,0,42.5
441,Nicholas Humphreys,5,4,3,16,14,16,0,0,76.19
442,- Baxter,5,3,0,16,12,5.33,0,0,-
443,Michael Nallen,3,3,0,16,16,5.33,0,0,37.21
444,J Kirk,5,4,0,16,11,4,0,0,-
445,Christopher Pike,78,32,9,15,7,0.65,0,0,5.26
